number|Hosts|Subnet|Block|Netmask|Network Addr|Broadcast
1|1024|10.10.0.0/22|10.10.0.1 - 10.10.3.254|255.255.252.0|10.10.0.0|10.10.3.255
2|1024|10.10.4.0/22|10.10.4.1 - 10.10.7.254|255.255.252.0|10.10.4.0|10.10.7.255
3|1024|10.10.8.0/22|10.10.8.1 - 10.10.11.254|255.255.252.0|10.10.8.0|10.10.11.255
4|1024|10.10.12.0/22|10.10.12.1 - 10.10.15.254|255.255.252.0|10.10.12.0|10.10.15.255
5|1024|10.10.16.0/22|10.10.16.1 - 10.10.19.254|255.255.252.0|10.10.16.0|10.10.19.255
6|1024|10.10.20.0/22|10.10.20.1 - 10.10.23.254|255.255.252.0|10.10.20.0|10.10.23.255
7|1024|10.10.24.0/22|10.10.24.1 - 10.10.27.254|255.255.252.0|10.10.24.0|10.10.27.255
8|1024|10.10.28.0/22|10.10.28.1 - 10.10.31.254|255.255.252.0|10.10.28.0|10.10.31.255
9|1024|10.10.32.0/22|10.10.32.1 - 10.10.35.254|255.255.252.0|10.10.32.0|10.10.35.255
10|1024|10.10.36.0/22|10.10.36.1 - 10.10.39.254|255.255.252.0|10.10.36.0|10.10.39.255
11|1024|10.10.40.0/22|10.10.40.1 - 10.10.43.254|255.255.252.0|10.10.40.0|10.10.43.255
12|1024|10.10.44.0/22|10.10.44.1 - 10.10.47.254|255.255.252.0|10.10.44.0|10.10.47.255
13|1024|10.10.48.0/22|10.10.48.1 - 10.10.51.254|255.255.252.0|10.10.48.0|10.10.51.255
14|1024|10.10.52.0/22|10.10.52.1 - 10.10.55.254|255.255.252.0|10.10.52.0|10.10.55.255
15|1024|10.10.56.0/22|10.10.56.1 - 10.10.59.254|255.255.252.0|10.10.56.0|10.10.59.255
16|1024|10.10.60.0/22|10.10.60.1 - 10.10.63.254|255.255.252.0|10.10.60.0|10.10.63.255
17|1024|10.10.64.0/22|10.10.64.1 - 10.10.67.254|255.255.252.0|10.10.64.0|10.10.67.255
18|1024|10.10.68.0/22|10.10.68.1 - 10.10.71.254|255.255.252.0|10.10.68.0|10.10.71.255
19|1024|10.10.72.0/22|10.10.72.1 - 10.10.75.254|255.255.252.0|10.10.72.0|10.10.75.255
20|1024|10.10.76.0/22|10.10.76.1 - 10.10.79.254|255.255.252.0|10.10.76.0|10.10.79.255
21|1024|10.10.80.0/22|10.10.80.1 - 10.10.83.254|255.255.252.0|10.10.80.0|10.10.83.255
22|1024|10.10.84.0/22|10.10.84.1 - 10.10.87.254|255.255.252.0|10.10.84.0|10.10.87.255
23|1024|10.10.88.0/22|10.10.88.1 - 10.10.91.254|255.255.252.0|10.10.88.0|10.10.91.255
24|1024|10.10.92.0/22|10.10.92.1 - 10.10.95.254|255.255.252.0|10.10.92.0|10.10.95.255
25|1024|10.10.96.0/22|10.10.96.1 - 10.10.99.254|255.255.252.0|10.10.96.0|10.10.99.255
26|1024|10.10.100.0/22|10.10.100.1 - 10.10.103.254|255.255.252.0|10.10.100.0|10.10.103.255
27|1024|10.10.104.0/22|10.10.104.1 - 10.10.107.254|255.255.252.0|10.10.104.0|10.10.107.255
28|1024|10.10.108.0/22|10.10.108.1 - 10.10.111.254|255.255.252.0|10.10.108.0|10.10.111.255
29|1024|10.10.112.0/22|10.10.112.1 - 10.10.115.254|255.255.252.0|10.10.112.0|10.10.115.255
30|1024|10.10.116.0/22|10.10.116.1 - 10.10.119.254|255.255.252.0|10.10.116.0|10.10.119.255
31|1024|10.10.120.0/22|10.10.120.1 - 10.10.123.254|255.255.252.0|10.10.120.0|10.10.123.255
32|1024|10.10.124.0/22|10.10.124.1 - 10.10.127.254|255.255.252.0|10.10.124.0|10.10.127.255
33|1024|10.10.128.0/22|10.10.128.1 - 10.10.131.254|255.255.252.0|10.10.128.0|10.10.131.255
34|1024|10.10.132.0/22|10.10.132.1 - 10.10.135.254|255.255.252.0|10.10.132.0|10.10.135.255
35|1024|10.10.136.0/22|10.10.136.1 - 10.10.139.254|255.255.252.0|10.10.136.0|10.10.139.255
36|1024|10.10.140.0/22|10.10.140.1 - 10.10.143.254|255.255.252.0|10.10.140.0|10.10.143.255
37|1024|10.10.144.0/22|10.10.144.1 - 10.10.147.254|255.255.252.0|10.10.144.0|10.10.147.255
38|1024|10.10.148.0/22|10.10.148.1 - 10.10.151.254|255.255.252.0|10.10.148.0|10.10.151.255
